# Kaimal 1972 / Eurocode 1
time_s,U_ms,u_turbulent_ms,F_drag_N
14.3500,23.1585,3.1585,1970.9569
14.4000,21.5278,1.5278,1703.1723
14.4500,21.9949,1.9949,1777.8797
14.5000,23.9083,3.9083,2100.6619
14.5500,24.8432,4.8432,2268.1620
14.6000,25.1028,5.1028,2315.8068
14.6500,24.2095,4.2095,2153.9090
14.7000,22.2015,2.2015,1811.4369
14.7500,23.6847,3.6847,2061.5396
14.8000,23.0026,3.0026,1944.5156
14.8500,23.8939,3.8939,2098.1323
14.9000,22.7221,2.7221,1897.3865
14.9500,22.9532,2.9532,1936.1703
15.0000,21.6555,1.6555,1723.4331
15.0500,22.1242,2.1242,1798.8452
15.1000,22.7376,2.7376,1899.9750
15.1500,21.8754,1.8754,1758.6081
15.2000,21.3409,1.3409,1673.7246
15.2500,20.1446,0.1446,1491.3270
15.3000,20.6928,0.6928,1573.6000
15.3500,20.9176,0.9176,1607.9825
15.4000,23.4797,3.4797,2026.0109
15.4500,21.9129,1.9129,1764.6482
15.5000,19.8808,-0.1192,1452.5309
15.5500,18.7812,-1.2188,1296.2952
15.6000,20.0618,0.0618,1479.0932
15.6500,21.7429,1.7429,1737.3624
15.7000,22.3783,2.3783,1840.4051
15.7500,22.5350,2.5350,1866.2554
15.8000,22.4041,2.4041,1844.6446
15.8500,21.3140,1.3140,1669.5100
15.9000,22.7523,2.7523,1902.4345
15.9500,24.0730,4.0730,2129.7048
16.0000,24.3486,4.3486,2178.7398
16.0500,24.3131,4.3131,2172.3831
16.1000,25.7732,5.7732,2441.1558
16.1500,26.3184,6.3184,2545.5243
16.2000,25.3267,5.3267,2357.2961
16.2500,24.0311,4.0311,2122.2870
16.3000,23.4611,3.4611,2022.7976
16.3500,20.5660,0.5660,1554.3834
16.4000,20.1546,0.1546,1492.8066
16.4500,18.2661,-1.7339,1226.1714
16.5000,18.4827,-1.5173,1255.4147
16.5500,20.5836,0.5836,1557.0456
16.6000,21.8081,1.8081,1747.8044
16.6500,20.1449,0.1449,1491.3717
16.7000,18.1998,-1.8002,1217.2811
16.7500,14.5646,-5.4354,779.5734
16.8000,15.2119,-4.7881,850.4065
16.8500,17.5227,-2.4773,1128.3840
16.9000,19.6647,-0.3353,1421.1174
16.9500,18.5428,-1.4572,1263.5937
17.0000,22.3022,2.3022,1827.9007
17.0500,25.1133,5.1133,2317.7491
17.1000,22.2185,2.2185,1814.2010
17.1500,22.3828,2.3828,1841.1331
17.2000,22.4043,2.4043,1844.6804
17.2500,22.5391,2.5391,1866.9414
17.3000,23.5995,3.5995,2046.7346
17.3500,22.5407,2.5407,1867.2021
17.4000,21.2819,1.2819,1664.4750
17.4500,19.6834,-0.3166,1423.8313
17.5000,17.0945,-2.9055,1073.9113
17.5500,18.3957,-1.6043,1243.6270
17.6000,20.5465,0.5465,1551.4329
17.6500,20.0333,0.0333,1474.8990
17.7000,19.4801,-0.5199,1394.5616
17.7500,19.4558,-0.5442,1391.0938
17.8000,21.6576,1.6576,1723.7634
17.8500,21.6297,1.6297,1719.3335
17.9000,20.5273,0.5273,1548.5366
17.9500,20.6728,0.6728,1570.5644
18.0000,20.2496,0.2496,1506.9253
18.0500,22.7070,2.7070,1894.8636
18.1000,23.6392,3.6392,2053.6320
18.1500,21.7771,1.7771,1742.8453
18.2000,21.2075,1.2075,1652.8626
18.2500,20.9613,0.9613,1614.7061
18.3000,23.3310,3.3310,2000.4371
18.3500,25.0505,5.0505,2306.1650
18.4000,20.8011,0.8011,1590.1277
18.4500,19.7611,-0.2389,1435.0941
18.5000,18.4635,-1.5365,1252.8111
18.5500,20.0442,0.0442,1476.5036
18.6000,20.5484,0.5484,1551.7240
18.6500,19.6193,-0.3807,1414.5661
18.7000,19.1516,-0.8484,1347.9292
18.7500,22.1277,2.1277,1799.4077
18.8000,19.8179,-0.1821,1443.3548
18.8500,19.0290,-0.9710,1330.7295
18.9000,17.3364,-2.6636,1104.5220
18.9500,16.8099,-3.1901,1038.4549
19.0000,15.8448,-4.1552,922.6362
19.0500,14.1543,-5.8457,736.2614
19.1000,15.4004,-4.5996,871.6078
19.1500,15.6366,-4.3634,898.5445
19.2000,13.8967,-6.1033,709.7146
19.2500,11.9807,-8.0193,527.5004
19.3000,12.9083,-7.0917,612.3431
19.3500,13.7199,-6.2801,691.7633
19.4000,13.5001,-6.4999,669.7757
19.4500,11.3868,-8.6132,476.4944
19.5000,12.9479,-7.0521,616.1026
19.5500,13.3927,-6.6073,659.1646
19.6000,16.4685,-3.5315,996.7052
19.6500,15.2839,-4.7161,858.4683
19.7000,16.5523,-3.4477,1006.8760
19.7500,16.7202,-3.2798,1027.3976
19.8000,14.3782,-5.6218,759.7470
19.8500,13.0484,-6.9516,625.7100
19.9000,14.2828,-5.7172,749.6907
19.9500,15.5762,-4.4238,891.6178
20.0000,17.7510,-2.2490,1157.9840
20.0500,17.9452,-2.0548,1183.4586
20.1000,18.9217,-1.0783,1315.7626
20.1500,21.1827,1.1827,1648.9903
20.2000,19.8529,-0.1471,1448.4559
20.2500,18.7646,-1.2354,1294.0049
20.3000,20.6971,0.6971,1574.2581
20.3500,19.8547,-0.1453,1448.7211
20.4000,20.0305,0.0305,1474.4917
20.4500,20.6322,0.6322,1564.4037
20.5000,21.0581,1.0581,1629.6480
20.5500,21.9155,1.9155,1765.0636
20.6000,20.2659,0.2659,1509.3544
20.6500,21.5443,1.5443,1705.7821
20.7000,22.2806,2.2806,1824.3645
20.7500,20.4587,0.4587,1538.2095
20.8000,19.4060,-0.5940,1383.9764
20.8500,21.3164,1.3164,1669.8834
20.9000,22.0496,2.0496,1786.7315
20.9500,21.3260,1.3260,1671.3908
21.0000,21.1341,1.1341,1641.4386
21.0500,20.1859,0.1859,1497.4535
21.1000,21.7920,1.7920,1745.2270
21.1500,23.7665,3.7665,2075.8177
21.2000,22.3689,2.3689,1838.8456
21.2500,20.0617,0.0617,1479.0781
21.3000,17.1262,-2.8738,1077.9007
21.3500,15.1154,-4.8846,839.6432
21.4000,16.0206,-3.9794,943.2300
21.4500,14.7116,-5.2884,795.3833
21.5000,16.7158,-3.2842,1026.8583
21.5500,16.0900,-3.9100,951.4193
21.6000,15.6858,-4.3142,904.2182
21.6500,16.8581,-3.1419,1044.4227
21.7000,17.5767,-2.4233,1135.3577
21.7500,18.7511,-1.2489,1292.1503
21.8000,18.4017,-1.5983,1244.4365
21.8500,18.3257,-1.6743,1234.1738
21.9000,17.1967,-2.8033,1086.7977
21.9500,16.8869,-3.1131,1047.9892
22.0000,19.5998,-0.4002,1411.7569
22.0500,22.3418,2.3418,1834.3939
22.1000,23.7579,3.7579,2074.3085
22.1500,24.9647,4.9647,2290.3904
22.2000,24.4239,4.4239,2192.2284
22.2500,24.7805,4.7805,2256.7212
22.3000,24.1184,4.1184,2137.7410
22.3500,23.0568,3.0568,1953.6907
22.4000,24.6055,4.6055,2224.9553
22.4500,27.7287,7.7287,2825.6433
22.5000,27.0529,7.0529,2689.5883
22.5500,28.7182,8.7182,3030.8938
22.6000,27.6082,7.6082,2801.1298
22.6500,26.4371,6.4371,2568.5339
22.7000,27.3846,7.3846,2755.9428
22.7500,28.3464,8.3464,2952.9316
22.8000,30.7259,10.7259,3469.4896
22.8500,28.2908,8.2908,2941.3569
22.9000,25.9551,5.9551,2475.7319
22.9500,28.8829,8.8829,3065.7688
23.0000,28.2749,8.2749,2938.0435
23.0500,26.2980,6.2980,2541.5773
23.1000,28.0136,8.0136,2884.0051
23.1500,26.7507,6.7507,2629.8245
23.2000,25.3161,5.3161,2355.3198
23.2500,25.3754,5.3754,2366.3756
23.3000,25.1754,5.1754,2329.2172
23.3500,27.5701,7.5701,2793.4102
23.4000,28.3756,8.3756,2959.0229
23.4500,29.6403,9.6403,3228.6557
23.5000,28.5211,8.5211,2989.4355
23.5500,26.2714,6.2714,2536.4299
23.6000,25.6129,5.6129,2410.8755
23.6500,23.9252,3.9252,2103.6189
23.7000,24.7074,4.7074,2243.4260
23.7500,24.9252,4.9252,2283.1434
23.8000,25.5912,5.5912,2406.7973
23.8500,25.7543,5.7543,2437.5648
23.9000,23.2057,3.2057,1979.0004
23.9500,23.0017,3.0017,1944.3597
24.0000,23.9385,3.9385,2105.9620
24.0500,24.4069,4.4069,2189.1929
24.1000,24.9943,4.9943,2295.8204
24.1500,25.1065,5.1065,2316.4907
24.2000,26.3012,6.3012,2542.1838
24.2500,28.1140,8.1140,2904.7084
24.3000,27.3538,7.3538,2749.7547
24.3500,25.1218,5.1218,2319.3059
24.4000,25.1895,5.1895,2331.8227
24.4500,26.8147,6.8147,2642.4225
24.5000,27.0566,7.0566,2690.3243
24.5500,26.1805,6.1805,2518.9045
24.6000,25.4532,5.4532,2380.9071
24.6500,24.3712,4.3712,2182.7804
24.7000,24.3662,4.3662,2181.8826
24.7500,26.0456,6.0456,2493.0209
24.8000,25.9035,5.9035,2465.8972
24.8500,24.0487,4.0487,2125.4037
24.9000,24.5581,4.5581,2216.3975
24.9500,22.9414,2.9414,1934.1877
25.0000,21.5621,1.5621,1708.5909
25.0500,22.0964,2.0964,1794.3232
25.1000,21.8099,1.8099,1748.0857
