# ABAQUS Dynamic Analysis - Stress History at Element 1 Base
# Variable: SM2
time_s,SM2_Nm,sigma_bending_MPa
39.1234,9306.0029,6.856928
39.1734,8959.0742,6.601301
39.2234,8253.2881,6.081257
39.2734,7248.1162,5.340618
39.3234,6121.2593,4.510318
39.3734,5102.2651,3.759494
39.4234,4330.4922,3.190830
39.4734,3452.5811,2.543960
39.5234,2128.5486,1.568375
39.5734,807.4959,0.594986
39.6234,22.8256,0.016819
39.6734,-296.5618,0.218515
39.7234,-386.1438,0.284522
39.7734,-616.9081,0.454555
39.8234,-1060.0106,0.781046
39.8734,-903.1223,0.665446
39.9234,171.9265,0.126680
39.9734,1237.3510,0.911715
40.0234,1670.4840,1.230860
40.0734,2126.5859,1.566929
40.1234,3337.8057,2.459390
40.1734,4930.9639,3.633274
40.2234,6383.6030,4.703620
40.2734,7871.0400,5.799606
40.3234,9516.7734,7.012229
40.3734,11046.5518,8.139414
40.4234,12276.0645,9.045353
40.4734,13155.1943,9.693121
40.5234,13746.1318,10.128541
40.5734,14433.9941,10.635377
40.6234,15385.0215,11.336121
40.6734,16257.3037,11.978844
40.7234,16757.0977,12.347106
40.7734,16699.4023,12.304595
40.8234,15943.2979,11.747475
40.8734,14781.4863,10.891420
40.9234,13849.7178,10.204866
40.9734,13337.7510,9.827634
41.0234,12787.3066,9.422051
41.0734,11646.6016,8.581547
41.1234,9861.6953,7.266378
41.1734,8249.6963,6.078611
41.2234,7306.6343,5.383736
41.2734,6343.3364,4.673951
41.3234,4954.8672,3.650887
41.3734,3721.7244,2.742272
41.4234,3224.1963,2.375680
41.4734,3137.0818,2.311491
41.5234,2718.8767,2.003346
41.5734,2070.8186,1.525838
41.6234,1920.5782,1.415137
41.6734,2363.1060,1.741204
41.7234,2705.8091,1.993717
41.7734,2690.9006,1.982732
41.8234,3026.7048,2.230162
41.8734,4196.1914,3.091873
41.9234,5744.0771,4.232399
41.9734,7137.4326,5.259063
42.0234,8330.1035,6.137857
42.0734,9402.8604,6.928295
42.1234,10376.8154,7.645933
42.1734,11289.5215,8.318441
42.2234,12157.2920,8.957838
42.2734,12915.4248,9.516452
42.3234,13426.1523,9.892771
42.3734,13661.6533,10.066295
42.4234,13744.0830,10.127031
42.4734,13684.8545,10.083390
42.5234,13501.1846,9.948057
42.5734,13381.1777,9.859632
42.6234,13153.6641,9.691994
42.6734,12496.6709,9.207903
42.7234,11820.7900,8.709894
42.7734,11342.9238,8.357789
